X, Y,startTime
2120.584538,637.6586669,866.0809
2198.012538,796.0826461,897.1104
2193.7499,816.9678714,928.3146
2197.60974,840.2744413,957.963
2200.097782,846.4485479,988.0545
2202.22606,858.8122283,1021.6208
2189.089392,909.9736095,1048.4822
2225.223043,910.2586052,1080.032
2209.329084,931.1848376,1108.3317
2198.430542,979.6995357,1139.2351
2145.676146,1238.939653,1169.4702
2136.005029,1283.310163,1199.3231
2134.813779,1277.692778,1229.9297
2133.871591,1271.21573,1259.7792
2141.499707,1272.429461,1290.7231
2144.30012,1272.10872,1320.4599
2214.758206,1167.602571,1349.9332
2119.914689,1243.513849,1380.908
2122.423436,1178.746169,1410.3662
2115.849507,1248.514403,1440.7747
2124.475621,1205.212285,1470.8454
2107.622572,1188.7301,1502.9254
2099.149453,1197.503441,1532.3033
2101.332827,1191.941141,1561.415
2108.704749,1235.560044,1593.3144
2116.377434,1216.587754,1623.7054
2117.262859,1211.492055,1652.9537
2118.211984,1221.895694,1683.0105
2120.513058,1232.561234,1714.8785
2120.035537,1238.925487,1745.2688
2131.294209,1262.120563,1773.8143
2136.540266,1274.202136,1805.1068
2154.612062,1039.895286,1835.0347
2163.0632,964.0882535,1865.0828
2168.520638,986.0738896,1894.3205
2170.526779,1004.92326,1926.043
2169.813172,978.4210786,1955.6152
2164.237183,941.8694317,1986.8631
2154.090875,958.591666,2019.6758
2160.562081,979.9914985,2047.2227
2172.661481,1033.512846,2077.1382
2114.855585,1240.963179,2257.2034
2126.943331,1197.749467,2288.9858
2140.602288,1189.302565,2317.7691
2144.148728,1204.462401,2349.0858
2148.210697,1194.689772,2378.1504
2145.567804,1173.170562,2408.791
2154.162266,1171.908702,2439.2501
2162.524319,1170.157809,2469.8595
2161.117502,1157.759421,2499.4407
2166.091504,1167.81811,2529.1689
2164.062592,1172.518828,2559.3465
2157.066517,1182.230249,2590.2439
2164.484916,1177.560695,2621.0991
2181.495004,1174.75951,2650.1675
2166.723896,1131.448025,2681.6003
2166.038155,1169.358776,2711.1611
2171.588945,1148.592622,2741.2501
2151.842136,1169.068345,2771.4818
2164.182028,1153.395949,2801.8763
2162.739592,1153.812002,2832.8045
2163.766979,1157.810926,2862.2466
2158.067493,1158.039145,2892.3958
2142.211494,1161.222528,2922.6115
2141.988381,1183.994482,2952.6059
2139.938417,1168.395927,2983.7135
2142.701271,1144.706143,3018.1292
2131.93425,1151.862375,3044.2985
2100.15316,1182.362001,3073.4612
2084.650901,1194.461838,3133.3081
3390.716096,2186.567992,3165.0908
3405.666449,2152.428754,3195.7821
3421.211215,2172.765003,3225.641
3412.916694,2172.902801,3255.9685
3394.269294,2174.162048,3286.5991
3404.057204,2171.79691,3316.2703
3420.804297,2156.91601,3346.1198
3418.219388,2159.234939,3375.907
3426.433718,2204.631754,3407.0847
3447.764911,2215.205517,3435.8711
3548.875252,1601.48677,3798.4942
3554.843187,1602.52882,3829.7914
1648.753049,1268.829397,3947.3474
2242.538476,969.4415363,3978.9988
2199.184142,994.083754,4012.0943
2163.729662,997.0411721,4039.9303
2117.103801,1008.327711,4070.1564
2121.704977,1005.390834,4101.9701
2124.012834,1003.273686,4130.7649
2115.553148,996.6717663,4161.1563
2114.638814,1014.895852,4190.9697
2114.323117,1023.175194,4222.3205
2128.452532,1010.915804,4252.0294
2139.796669,1026.350448,4281.8691
2140.65167,1030.601727,4312.2642
2124.217008,1035.268075,4341.6481
2118.701774,1034.440073,4372.0974
2143.157697,986.8421669,4402.6285
2134.569196,974.1779311,4432.7168
2115.163681,961.0956048,4462.7207
2127.275509,978.1421882,4493.1392
2128.342041,979.4634883,4523.3642
2135.368704,961.8109876,4553.554
2118.170255,1004.701794,4585.0111
2084.600694,1135.378976,4614.6783
2056.392456,1209.921435,4645.0391
2050.428127,1219.763857,4674.7341
2046.331714,1218.727892,4705.5798
2052.64407,1233.331238,4735.4282
2069.662696,1261.16457,4766.0662
2051.387334,1260.761828,4795.9279
2052.924403,1255.406597,4826.5466
2034.12864,1266.443433,4857.6038
2051.963792,1258.706685,4887.327
2050.863069,1266.273826,4916.5265
2059.284694,1162.182208,5096.8162
2056.005792,1068.51535,5127.8324
2070.547935,1096.491825,5158.258
2053.520196,1071.98876,5187.8912
2071.206755,1086.618199,5219.1431
2070.3812,1068.446981,5248.9509
2078.383125,1072.760273,5278.7943
2069.833101,1080.648091,5307.6
2053.829514,1100.133164,5339.0405
2059.08001,1088.853637,5368.7276
2060.359915,1071.163372,5400.2864
2063.190531,1065.501157,5430.7215
2061.531574,1066.177609,5459.7617
2057.380056,1052.355879,5490.519
2052.822622,1058.452869,5521.1536
2045.240401,1053.622404,5550.4738
2046.849284,1068.04544,5580.7658
1095.152842,1611.029577,5728.2227
1818.619416,1098.545408,5760.3541
1885.991114,1098.314408,5791.7284
1928.587735,1086.151023,5821.8217
1940.834044,1081.277012,5852.2138
1953.755539,1068.344536,5881.6147
1958.951654,1057.390482,5912.2568
1963.17787,1052.683907,5944.3664
1951.297409,1050.507689,5971.7309
1958.243269,1033.984166,6005.595
1948.140711,1032.022291,6033.3766
1954.507827,1017.190968,6063.5694
1950.707494,1028.661871,6093.5011
1946.309634,1044.716052,6123.8381
1953.788466,1031.383687,6154.1892
1971.361865,993.1528894,6184.2889
1984.5111,957.0535518,6213.9845
2004.145045,882.7506647,6244.8467
2009.228881,897.8662741,6275.6243
2003.111473,889.9952619,6304.7848
2003.84532,905.54726,6335.1721
1999.090636,947.6799772,6365.4635
1972.397412,943.9162243,6396.0214
1956.974605,889.1497421,6425.1615
1978.366181,909.3294631,6455.3171
1988.531687,875.4474796,6486.4852
2016.78816,850.155968,6516.0983
2032.097003,853.619699,6546.3192
2021.331734,844.8605662,6577.0371
2005.654255,839.1634464,6608.5783
