timestamp, action_unit_list, facial_expression
3.704,"[6, 7, 10, 12, 14, 25]",Happy
3.737,"[6, 7, 10, 12, 14, 25]",Happy
3.77,"[6, 7, 10, 12, 14, 25]",Happy
3.804,"[6, 7, 10, 12, 14, 25]",Happy
3.837,"[6, 10, 12, 14, 25]",Happy
3.871,"[6, 7, 10, 12, 14, 25]",Happy
3.904,"[6, 7, 10, 12, 14, 25]",Happy
3.937,"[6, 7, 10, 12, 14, 25]",Happy
3.971,"[6, 7, 10, 12, 14, 25]",Happy
4.004,"[6, 7, 10, 12, 14, 25]",Happy
4.037,"[6, 7, 10, 12, 14, 23, 25]",Happy
4.071,"[6, 7, 10, 12, 14, 23, 25]",Happy
4.104,"[6, 7, 10, 12, 14, 23, 25]",Happy
4.137,"[6, 7, 10, 12, 14, 23, 25]",Happy
4.171,"[6, 7, 10, 12, 14, 23, 25]",Happy
4.204,"[6, 7, 10, 12, 14, 23, 25]",Happy
4.238,"[6, 7, 10, 12, 14, 25]",Happy
4.271,"[6, 7, 10, 12, 14, 25]",Happy
4.304,"[6, 7, 10, 12, 14, 25]",Happy
4.338,"[6, 7, 10, 12, 14, 25]",Happy
4.371,"[6, 7, 10, 12, 14, 25]",Happy
4.404,"[6, 7, 10, 12, 14, 25]",Happy
4.438,"[6, 7, 10, 12, 14, 25]",Happy
4.471,"[6, 7, 10, 12, 14, 25]",Happy
4.505,"[6, 7, 10, 12, 14, 25]",Happy
4.538,"[6, 7, 10, 12, 14, 25]",Happy
4.571,"[6, 7, 10, 12, 14, 25]",Happy
4.605,"[6, 7, 10, 12, 14, 25]",Happy
4.638,"[6, 7, 10, 12, 14, 25]",Happy
4.671,"[6, 7, 10, 12, 14, 25]",Happy
4.705,"[6, 7, 10, 12, 14, 25]",Happy
4.738,"[6, 7, 10, 12, 14, 25]",Happy
4.771,"[6, 7, 10, 12, 14, 25]",Happy
4.805,"[6, 7, 10, 12, 14, 25]",Happy
4.838,"[6, 7, 10, 12, 14, 25]",Happy
