timestamp, action_unit_list, facial_expression
3.637,"[1, 2, 4, 5, 7, 14, 25]",Contempt
3.67,"[1, 2, 4, 5, 7, 12, 14, 25]",Contempt
3.704,"[1, 2, 4, 5, 7, 12, 14, 25]",Contempt
3.737,"[1, 2, 4, 5, 7, 12, 14, 25]",Contempt
3.77,"[1, 2, 4, 5, 7, 12, 14]",Contempt
3.804,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.837,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.871,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.904,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.937,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.971,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
4.004,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.037,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.071,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.104,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.137,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.171,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.204,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.238,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.271,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.304,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.338,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.371,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.404,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.438,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.471,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.505,"[1, 2, 4, 5, 7, 12, 17, 26]",Neutral
4.538,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.571,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.605,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.638,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.671,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.705,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.738,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.771,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.805,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.838,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.872,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.905,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.938,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.972,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
5.005,"[1, 2, 4, 5, 12, 17]",Neutral
5.038,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
5.072,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
5.105,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
5.138,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
5.172,"[1, 2, 4, 5, 12, 17]",Neutral
5.205,"[1, 2, 4, 5, 12, 17, 23]",Neutral
5.239,"[1, 2, 4, 5, 7, 12, 17, 23]",Neutral
5.272,"[1, 2, 4, 5, 7, 12, 17, 23]",Neutral
5.305,"[1, 2, 4, 5, 7, 12, 17, 23]",Neutral
5.339,"[1, 2, 4, 5, 7, 12, 17, 23]",Neutral
5.372,"[1, 2, 4, 5, 7, 12, 17, 23]",Neutral
5.405,"[1, 4, 5, 7, 12, 17, 23, 25, 26]",Neutral
5.439,"[5, 7, 12, 17, 23, 25, 26]",Neutral
5.472,"[5, 7, 12, 17, 20, 23, 25, 26]",Neutral
5.506,"[5, 7, 12, 17, 20, 23, 25, 26]",Neutral
5.539,"[5, 12, 14, 17, 20, 23, 25, 26]",Contempt
5.572,"[5, 12, 14, 17, 20, 25, 26]",Contempt
5.606,"[1, 4, 5, 12, 20, 25, 26]",Neutral
5.639,"[1, 4, 5, 12, 14, 20, 25, 26, 45]",Contempt
5.672,"[1, 4, 5, 12, 14, 20, 25, 26, 45]",Contempt
5.706,"[1, 4, 5, 12, 14, 20, 25, 26, 45]",Contempt
5.739,"[1, 4, 5, 12, 14, 20, 25, 26, 45]",Contempt
5.772,"[1, 4, 5, 7, 12, 20, 25, 26, 45]",Fear
5.806,"[1, 4, 5, 7, 10, 12, 20, 25, 26, 45]",Fear
5.839,"[1, 4, 5, 7, 10, 12, 20, 25, 26, 45]",Fear
5.873,"[1, 4, 5, 10, 12, 20, 25, 26, 45]",Neutral
5.906,"[1, 4, 5, 10, 12, 20, 23, 25, 26, 45]",Neutral
5.939,"[1, 4, 5, 10, 12, 20, 23, 25, 26, 45]",Neutral
5.973,"[1, 4, 5, 10, 12, 20, 23, 25, 26, 45]",Neutral
6.006,"[1, 4, 5, 6, 10, 12, 20, 23, 25, 26, 45]",Happy
6.039,"[1, 4, 5, 6, 10, 12, 14, 20, 23, 25, 26, 45]",Happy
6.073,"[4, 5, 6, 10, 12, 14, 20, 23, 25, 26, 45]",Happy
6.106,"[4, 5, 6, 7, 10, 12, 14, 23, 25, 26, 45]",Happy
6.139,"[4, 5, 6, 7, 10, 12, 14, 23, 25, 26, 45]",Happy
6.173,"[4, 5, 6, 7, 10, 12, 14, 23, 25, 26, 45]",Happy
6.206,"[5, 6, 7, 12, 14, 17, 23, 25, 26, 45]",Happy
6.24,"[5, 6, 7, 12, 14, 17, 23, 25, 26, 45]",Happy
6.273,"[5, 6, 7, 12, 14, 17, 23, 25, 26, 45]",Happy
6.306,"[5, 6, 7, 12, 14, 17, 23, 25, 26, 45]",Happy
6.34,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.373,"[5, 6, 12, 14, 17, 23, 26, 45]",Contempt
6.406,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.44,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.473,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.507,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.54,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.573,"[5, 6, 12, 14, 17, 23, 25, 26, 45]",Happy
6.607,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.64,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.673,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.707,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.74,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.773,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.807,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.84,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.874,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
6.907,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
6.94,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
6.974,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.007,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.04,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.074,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.107,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.14,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.174,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.207,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.241,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.274,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.307,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.341,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.374,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.407,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.441,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.474,"[5, 6, 10, 12, 14, 23, 25, 26, 45]",Happy
7.508,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.541,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.574,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.608,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.641,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.674,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.708,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.741,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.774,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.808,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.841,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.875,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.908,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.941,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
7.975,"[5, 6, 10, 12, 14, 23, 25, 45]",Happy
8.008,"[5, 6, 9, 10, 12, 14, 23, 25, 45]",Happy
8.041,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.075,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.108,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.141,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.175,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.208,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
8.242,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
8.275,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.308,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.342,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.375,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.408,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.442,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.475,"[5, 6, 7, 10, 12, 14, 23, 25, 45]",Happy
8.509,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
8.542,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
8.575,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
8.609,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
8.642,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
8.675,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
8.709,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.742,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.775,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.809,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.842,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
8.876,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
8.909,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
8.942,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
8.976,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
9.009,"[5, 6, 7, 9, 10, 12, 14, 25, 45]",Happy
9.042,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
9.076,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
9.109,"[5, 6, 9, 10, 12, 14, 25, 45]",Happy
9.142,"[5, 6, 10, 12, 14, 25, 45]",Happy
9.176,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
9.209,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
9.243,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
9.276,"[5, 6, 7, 10, 12, 14, 25, 45]",Happy
9.309,"[5, 6, 7, 10, 12, 25, 26, 45]",Happy
9.343,"[5, 6, 7, 10, 12, 25, 26, 45]",Happy
9.376,"[5, 6, 7, 10, 12, 25, 26, 45]",Happy
9.409,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.443,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.476,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.51,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.543,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.576,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.61,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.643,"[5, 6, 7, 10, 12, 25, 26]",Happy
